Category,Value,Clue,Answer
Yak Lore,100,"In Spring of 2020, I was formally accepted into this school's College of Engineering",Virginia Tech
Yak Lore,200,"My hometown, a suburb of Pittsburgh, is named after this fruit",Plum
Yak Lore,300,"",None
Yak Lore,400,"",None
Yak Lore,500,"",None
Black and Gold,100,"He captained the Penguins to back-to-back Stanley Cup championships in the mid-2010s, becoming the 6th player to ever win multiple Conn Smythe trophies",Sidney Crosby
Black and Gold,200,"His 2025 Cy Young is the first major award for a Bucco since Andrew McCutchen's 2013 MVP season",Paul Skenes
Black and Gold,300,"",None
Black and Gold,400,"",None
Black and Gold,500,"He's arguably the best baseball player of all time, but his tenure in Pittsburgh ended on a sour note when he failed to throw Sid Bream out at home in Game 7 on the 1992 NLCS",Barry Bonds
